x轴,模型与异构任务
y轴,性能提升比(%)
类型,scatter,scatter,line
,昇腾性能提升比(%),飞腾性能提升比(%),KPI指标要求
deit_tiny_patch_16_224,81.27,70.44,40
levit_128,77.06,65.97,40
mobilenet_v2,80.05,73.75,40
mobilenet_v3_large,79.83,73.13,40
resnet101,72.43,63.42,40
resnet18,80.8,69.46,40
resnet50,79.65,68.06,40
mobilevgg,82.46,73.02,40
lightvgg11,77.55,67.21,40
yolo5s,80.96,67.33,40
yolov8n,81.25,73.9,40
sampler_cpu,73.68,64.37,40
sampler_ram,72.53,69.53,40
sampler_gpu,70.93,61.32,40
sampler_internet,72.18,64.99,40
sampler_power,69.23,61.55,40
plot_cpu,87.75,80.88,40
plot_ram,84.48,81.39,40
plot_gpu,87.68,81.61,40
plot_internet,88.52,80.01,40
plot_power,89.03,78.01,40
