model,暖到热,冷到热,性能提升比
deit_tiny_patch_16_224,1.02,5.45,81.27
levit_128,1.15,5.02,77.06
mobilenet_v2,0.93,4.64,80.05
mobilenet_v3_large,0.85,4.22,79.83
resnet101,1.24,4.51,72.43
resnet18,0.88,4.56,80.80
resnet50,1.04,5.13,79.65
mobilevgg,1.00,5.72,82.46
lightvgg11,1.16,5.16,77.55
yolo5s,1.00,5.26,80.96
yolov8n,0.95,5.07,81.25
sampler_cpu,1.32,5.02,73.68
sampler_ram,1.32,4.79,72.53
sampler_gpu,1.31,4.51,70.93
sampler_internet,1.40,5.02,72.18
sampler_power,1.30,4.21,69.23
plot_cpu,0.51,4.14,87.75
plot_ram,0.52,3.38,84.48
plot_gpu,0.51,4.12,87.68
plot_internet,0.49,4.25,88.52
plot_power,0.50,4.51,89.03
