model,暖到热,冷到热,性能提升比
deit_tiny_patch_16_224,0.81,2.76,70.44
levit_128,0.93,2.75,65.97
mobilenet_v2,0.74,2.81,73.75
mobilenet_v3_large,0.71,2.65,73.13
resnet101,1.10,3.02,63.42
resnet18,0.69,2.26,69.46
resnet50,0.87,2.72,68.06
mobilevgg,0.68,2.51,73.02
lightvgg11,1.04,3.19,67.21
yolo5s,0.88,2.69,67.33
yolov8n,0.79,3.04,73.90
sampler_cpu,1.00,2.81,64.37
sampler_ram,0.82,2.68,69.53
sampler_gpu,1.14,2.95,61.32
sampler_internet,0.97,2.78,64.99
sampler_power,0.97,2.52,61.55
plot_cpu,0.50,2.63,80.88
plot_ram,0.51,2.75,81.39
plot_gpu,0.48,2.61,81.61
plot_internet,0.50,2.52,80.01
plot_power,0.55,2.52,78.01
