x轴,模型
y轴,时延(ms)
类型,bar:stack:Ad,bar:stack:Ad,bar:stack:Ad,bar:emphasis
,端侧推理,传输时长,边缘推理,Baseline
deit_tiny_patch_16_224,17.01,0.39,147.47,587.9247212
levit_128,31.01,0.37,38.59,267.5110607
mobilenet_v2,45.47,0.28,18.27,243.629967
mobilenet_v3_large,18.67,0.17,7.37,231.1712689
resnet101,16.58,196.69,847.74,2329.237232
resnet18,114.45,0.56,100.81,511.0485725
resnet50,17.07,194.54,451.22,1220.934453
vgg11_static,877.49,0.21,3.09,1106.260592
vgg13,0,0.57,1249.44,1553.71892
vgg16,0,0.55,1680.34,2059.002435
vgg19,0,0.57,2089.87,2566.644745
mobilevgg,472.54,465.59,141.48,1462.17578
lightvgg11,45.39,196.14,163.4,1097.120133
yolov5s,9.77,37.15,180.98,624.2213025
yolov8n,0.51,0.69,79,306.4463143
