x轴,模型
y轴,时延(ms)
类型,bar:stack:Ad,bar:stack:Ad,bar:stack:Ad,bar:emphasis
,端侧推理,传输时长,边缘推理,Baseline
deit_tiny_patch_16_224,5.13,0.27,224.89,364.1976552
levit_128,0.36,0.38,84.37,655.9859076
mobilenet_v2,16.78,0.67,54.78,379.21
mobilenet_v3_large,18.86,0.17,10.33,294.92
resnet101,0.37,0.46,84.25,6340.610399
resnet18,0.39,0.59,297.91,932.6931026
resnet50,64.07,2.81,611.82,3203.690892
vgg11_static,0.29,0.47,1206.68,1894.99
vgg13,0.38,0.46,1773.02,2317.396222
vgg16,0.37,0.36,2380.69,3658.295343
vgg19,0.43,0.48,3005.78,4415.396613
mobilevgg,0.65,0.66,792.28,2488.29769
lightvgg11,0.37,0.39,250.54,2329.589507
yolov5s,0.42,0.46,268.84,1449.505676
yolov8n,3,0.57,106.73,572.5167201
