场景,模型,baseline平均延迟(ms),模型分割后平均E2E(ms),任务完成时间性能提升(%),baseline占用内存(MB),模型分割后占用内存(MB),内存资源节省比(%),任务完成时间性能提升指标,内存资源节省比指标
昇腾 server / 飞腾 client x2,deit_tiny_patch16_224,364.2,224.81,38.27,159,84.01,47.16,10%,20%
昇腾 server / 飞腾 client x2,levit_128,655.99,122.82,81.28,175.5,54.4,69,10%,20%
昇腾 server / 飞腾 client x2,mobilenet_v2,379.21,158.69,58.15,134.4,63.86,52.49,10%,20%
昇腾 server / 飞腾 client x2,mobilenet_v3_large,294.92,76,74.23,144.3,61.72,57.23,10%,20%
昇腾 server / 飞腾 client x2,resnet101,6340.61,1702.74,73.15,312.7,55.42,82.28,10%,20%
昇腾 server / 飞腾 client x2,resnet18,932.69,377.77,59.5,166.8,54.74,67.18,10%,20%
昇腾 server / 飞腾 client x2,resnet50,3203.69,907.38,71.68,238.1,55.05,76.88,10%,20%
昇腾 server / 飞腾 client x2,mobilevgg,2488.3,1167.8,53.07,217.8,49.8,77.13,10%,20%
昇腾 server / 飞腾 client x2,lightvgg11,2329.59,372.88,83.99,1154.05,67.74,94.13,10%,20%
昇腾 server / 飞腾 client x2,yolov5,1449.51,381.75,73.66,164.8,54.66,66.83,10%,20%
昇腾 server / 飞腾 client x2,yolov8,572.52,164.51,71.27,136.3,52.73,61.31,10%,20%
昇腾 server / 昇腾 client x2,deit_tiny_patch16_224,587.92,252.89,56.99,279.8,66.92,76.08,10%,20%
昇腾 server / 昇腾 client x2,levit_128,267.51,96.65,63.87,359.7,59.39,83.49,10%,20%
昇腾 server / 昇腾 client x2,mobilenet_v2,243.63,95.48,60.81,248.3,63.39,74.47,10%,20%
昇腾 server / 昇腾 client x2,mobilenet_v3_large,231.17,74.99,67.56,286.1,61.91,78.36,10%,20%
昇腾 server / 昇腾 client x2,resnet101,2329.24,1257.93,45.99,1061.88,123.12,88.41,10%,20%
昇腾 server / 昇腾 client x2,resnet18,511.05,271.03,46.97,166.8,73.15,56.15,10%,20%
昇腾 server / 昇腾 client x2,resnet50,1220.93,566.54,53.6,1110.02,105.24,90.52,10%,20%
昇腾 server / 昇腾 client x2,mobilevgg,1462.18,1186.22,18.87,248.7,50.14,79.84,10%,20%
昇腾 server / 昇腾 client x2,lightvgg11,1097.12,266.57,75.7,2048,1458.53,28.78,10%,20%
昇腾 server / 昇腾 client x2,yolov5,624.22,334.11,46.48,358.4,58.37,83.71,10%,20%
昇腾 server / 昇腾 client x2,yolov8,306.45,136.11,55.58,244.6,53.75,78.03,10%,20%
