模型,Baseline端到端时延(ms),Ours端到端时延(ms),Baseline占用内存(MB),Ours head占用内存(MB),完成时间性能提升比(%),内存资源节省比(%)
deit_tiny_patch16_224,364.20,241.66,159.00,33.36,33.65,79.02
levit_128,655.99,124.96,175.50,29.56,80.95,83.16
mobilenet_v2,379.21,110.41,134.40,42.59,70.88,68.31
mobilenet_v3_large,294.92,73.90,144.30,42.94,74.94,70.24
resnet101,6340.61,1288.86,312.70,27.39,79.67,91.24
resnet18,932.69,337.49,166.80,27.66,63.82,83.42
resnet50,3203.69,708.73,238.10,50.04,77.88,78.98
vgg11,1894.99,1245.48,1040.00,27.85,34.28,97.32
vgg13,2317.40,1796.29,1056.00,28.63,22.49,97.29
vgg16,3658.30,2405.41,1183.00,27.61,34.25,97.67
vgg19,4415.40,3036.51,1167.00,28.93,31.23,97.52
mobilevgg,2488.30,826.91,217.80,29.00,66.77,86.69
lightvgg11,2329.59,294.63,1127.00,29.20,87.35,97.41
yolov5,1449.51,276.92,164.80,31.51,80.90,80.88
yolov8,572.52,121.21,136.30,31.81,78.83,76.66
